PCE,VOC,JSC,FF
1.8,660.0,4.55,0.58
8.07,734.0,15.34,0.72
7.52,712.0,11.43,0.73
6.58,715.0,12.48,0.74
4.5,600.0,12.2,0.64
5.3,590.0,14.1,0.62
4.0,770.0,7.06,0.74
0.99,555.0,2.79,0.64
4.22,635.0,9.98,0.66
4.95,666.0,11.22,0.66
6.04,601.0,15.78,0.64
5.48,612.0,14.0,0.64
4.97,750.0,9.9,0.67
5.01,690.0,10.67,0.68
4.36,670.0,10.16,0.64
4.78,700.0,11.38,0.6
7.6,740.0,14.2,0.72
8.3,730.0,15.22,0.75
7.7,740.0,14.0,0.74
4.8,630.0,10.8,0.71
4.7,640.0,10.2,0.72
6.3,720.0,12.3,0.71
6.3,720.0,12.4,0.71
5.6,710.0,11.1,0.71
5.6,720.0,10.9,0.71
2.35,690.0,5.41,0.63
1.88,674.0,4.2,0.66
5.51,793.0,10.76,0.64
2.14,682.0,4.55,0.69
4.8,740.0,8.9,0.66
5.7,720.0,10.8,0.64
4.35,762.0,7.51,0.76
1.44,650.0,3.3,0.67
4.57,750.0,8.59,0.71
2.52,740.0,4.7,0.73
4.54,760.0,8.47,0.7
1.87,720.0,3.69,0.7
4.35,630.0,11.27,0.61
4.96,680.0,12.22,0.6
4.05,700.0,9.14,0.63
4.14,700.0,9.26,0.63
3.74,710.0,8.43,0.63
1.9,611.0,4.5,0.68
2.6,621.0,6.2,0.67
4.04,656.0,7.64,0.6848
2.37,766.0,5.18,0.5081
4.22,700.0,8.87,0.68
5.01,701.0,10.52,0.68
4.09,715.0,8.41,0.68
4.47,712.0,9.36,0.67
3.68,723.0,7.38,0.69
2.82,570.0,7.44,0.67
4.41,600.0,11.74,0.63
4.26,620.0,10.12,0.68
4.55,640.0,10.63,0.67
3.64,550.0,9.99,0.66
4.82,610.0,12.66,0.62
4.28,600.0,10.2,0.7
2.68,540.0,6.84,0.73
3.74,560.0,9.18,0.73
2.58,540.0,6.3,0.76
4.0,642.0,9.8,0.63
3.0,615.0,7.4,0.66
3.1,640.0,7.6,0.64
1.23,538.0,3.33,0.688
1.94,588.0,4.68,0.703
3.55,577.0,9.06,0.679
7.33,700.0,14.29,0.73
5.76,634.0,14.6,0.62
1.36,520.0,4.47,0.58
5.84,644.0,14.5,0.63
5.16,654.0,12.4,0.64
7.58,757.0,14.1,0.71
6.98,738.0,13.9,0.68
8.09,745.0,15.2,0.71
6.25,729.0,12.6,0.68
7.54,744.0,14.8,0.68
6.93,757.0,13.8,0.66
6.01,729.0,12.4,0.66
2.55,640.0,7.57,0.5282
1.59,620.0,4.04,0.6385
3.68,660.0,9.78,0.5664
2.56,690.0,7.05,0.5265
1.77,586.0,4.25,0.71
5.1,560.0,12.6,0.723
4.86,643.0,10.65,0.71
4.3,586.0,9.98,0.74
2.94,589.0,6.7,0.74
2.74,601.0,6.17,0.74
3.66,703.0,7.89,0.66
2.63,578.0,7.76,0.5
3.12,656.0,8.09,0.5
0.54,547.0,1.35,0.728
0.96,568.0,2.55,0.665
4.24,650.0,9.32,0.7
5.98,680.0,12.43,0.72
8.51,725.0,14.46,0.72
4.6,680.0,9.8,0.69
4.9,760.0,8.9,0.73
3.3,600.0,7.9,0.69
4.2,610.0,10.5,0.65
10.4,908.0,15.42,0.743
11.6,915.0,16.88,0.754
5.66,629.0,13.05,0.69
5.39,676.6,12.57,0.63
2.49,550.0,6.92,0.653
1.38,670.0,2.83,0.62
0.82,529.0,2.27,0.59
5.8,633.0,13.4,0.688
4.2,596.0,11.5,0.61
1.78,536.0,6.02,0.53
5.89,649.0,14.37,0.63
1.7,540.0,5.2,0.62
4.6,650.0,11.2,0.64
1.58,550.0,4.48,0.64
0.89,448.0,2.99,0.67
2.35,568.0,7.04,0.59
1.81,568.0,5.16,0.62
1.84,548.0,5.63,0.6
1.89,540.0,5.8,0.6
1.15,522.0,3.35,0.62
1.04,524.0,3.16,0.63
0.97,520.0,3.07,0.61
0.56,517.0,1.8,0.6
0.91,503.0,2.96,0.61
0.6,516.0,1.99,0.59
3.02,487.0,9.15,0.68
3.1,710.0,6.0,0.64
2.5,560.0,7.8,0.54
2.34,540.0,6.94,0.62
2.11,550.0,6.76,0.57
2.75,590.0,6.66,0.7
5.24,650.0,11.33,0.71
3.48,670.0,6.95,0.75
2.28,630.0,5.02,0.72
7.0,688.0,14.28,0.69
4.9,700.0,10.3,0.68
3.96,640.0,9.12,0.68
3.34,620.0,7.92,0.68
10.7,883.0,16.71,0.722
9.8,887.0,14.78,0.749
7.6,824.0,12.06,0.76
3.35,910.0,5.29,0.69
3.76,940.0,5.69,0.7
3.3,950.0,4.93,0.7
1.58,790.0,3.08,0.65
0.82,529.0,2.27,0.59
1.38,670.0,2.83,0.62
0.82,529.0,2.27,0.59
2.2,565.0,6.0,0.648
2.91,535.0,8.28,0.657
3.23,520.0,9.8,0.633
4.8,657.0,10.67,0.68
11.3,958.0,15.8,0.748
5.37,811.0,8.8,0.752
10.7,897.0,15.6,0.764
9.68,814.0,15.8,0.753
9.32,821.0,15.1,0.752
10.4,848.0,16.1,0.762
6.18,700.0,12.6,0.71
5.27,665.0,11.04,0.72
5.21,665.0,11.3,0.69
5.83,649.0,13.14,0.68
6.16,710.0,11.46,0.68
6.33,740.0,11.67,0.68
5.87,720.0,11.47,0.67
0.75,580.0,2.09,0.62
2.17,600.0,5.84,0.62
3.17,660.0,8.91,0.55
4.27,680.0,10.41,0.6
2.58,620.0,7.31,0.57
6.7,844.0,10.18,0.776
6.36,669.0,13.76,0.691
3.0,660.0,6.4,0.71
2.57,630.0,6.24,0.65
3.18,660.0,8.4,0.57
4.78,660.0,10.52,0.69
4.33,620.0,9.74,0.71
3.38,660.0,7.21,0.71
3.2,696.0,6.3,0.7
