VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
674.0,10.89,0.65,4.74,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,5 mM CDCA,-,1,0
670.0,11.04,0.65,4.83,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,10 mM CDCA,-,1,0
690.0,10.56,0.66,4.78,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,20 mM CDCA,-,1,0
690.0,11.33,0.65,5.08,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,-,-,0,0
710.0,11.29,0.65,5.22,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,-,-,0,0
672.0,9.97,0.67,4.52,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,5 mM CDCA,-,1,0
664.0,11.5,0.65,4.94,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,10 mM CDCA,-,1,0
676.0,10.88,0.68,5.01,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,20 mM CDCA,-,1,0
680.0,9.44,0.66,4.2,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,-,-,0,0
700.0,10.75,0.67,5.04,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,-,-,0,0
