Formula,A_ion,B_ion,X_ion,Bandgap,ETL,HTL,Backcontact,Antisolvent,Solvent,Solv_annel,Anneal_temp,Dep_procedure,Synth_atm,Cell_area,Is_module,Voc,Jsc,FF,PCE,entry_id
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Au,Unknown,DMF >> IPA,False,70.0 >> 100.0,Spin-coating >> CBD,N2 >> N2,0.04,False,0.9,17.6,0.52,8.29,-7Yl-S0GiGdRqtLEoA3nmlIRbkXh
(DMA)PbI3,(DMA),Pb,I,,TiO2-c,Spiro-MeOTAD,Au,Unknown,DMF,False,140; 180,Spin-coating,Unknown,0.09,False,0.899,19.6,0.6,10.5,-7_3IDb7715g0wK4QBMp7ZlwUOru
CsPbBrI2,Cs,Pb,Br; I,1.91,TiO2-c,PTAA,Au,Unknown,DMSO >> Octane,False,260.0 >> Unknown,Spin-coating >> Spin-coating,Unknown,0.09,False,1.17,12.69,0.799,11.87,-89kmkbexGQ6nG5R4tZIU41Rqmvi
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp | ZrO2-mp,NiO-mp,Carbon,N2,DMF; DMSO,False,60; 100,Drop-infiltration,N2,0.1,False,0.98,18.3,0.4589999999999999,8.23,-8bJNr0c-rH9rePWgKKctezx5hdY
CsPbBrI2,Cs,Pb,Br; I,1.92,TiO2-c | TiO2-mp,P3HT,Au,Unknown,DMSO,False,160.0,Spin-coating,Air,0.096,False,1.21,13.93,0.79,13.33,-8eoN2m9kSmhxQo7FPeKk_IfSsAt
MAPbI3,MA,Pb,I,1.56,PCBM-60 | Bphen,TS-CuPc,Ag,Unknown,DMF; GBL,False,95.0,Spin-coating,N2,0.0725,False,0.78,18.31,0.61,8.71,-8fx0nOP-T93nPKH-O50ZRAjkye-
MAPbI3,MA,Pb,I,1.59,PCBM-60 | bis-C60,CuSCN,Ag,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.1,False,0.92,19.45,0.62,11.2,-92GY2Jdtot3Pk9Xi_0FnX6B5nwZ
MAPbI3,MA,Pb,I,1.6,TiO2-c,"2,5‐bis(4,4′‐bis(methoxyphenyl)aminophen‐4′′‐yl)‐3,4‐ethylenedioxythiophene",Au,Unknown,DMF >> IPA,False,70.0 >> 70.0,Spin-coating >> CBD,Air >> Air,0.2,False,0.97,18.9,0.57,10.6,-9jRrf047nZpe-D5sHevb4xOWV-S
BA2MA3Pb4I13,BA; MA,Pb,I,,TiO2-c,Spiro-MeOTAD,Au,Unknown,DMF; DMSO,False,100.0,Spin-coating,Air,0.09,False,1.01,16.61,0.525,10.01,-9tF1l-qy0GTpenODIqeSO5f-eQn
FA0.85MA0.15PbBr0.45I2.55,FA; MA,Pb,Br; I,1.62,TiO2-c | SnO2-c,PTAA,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,N2,0.16,False,1.13,22.58,0.78,19.8,-9wQc8Sn0uKmkmx8zHMLbpFQHDUO
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,none,Carbon,Diethyl ether,DMF; DMSO,False,100.0,Spin-coating,N2,0.09,False,0.97,22.78,0.64,14.29,-9znkqAe0yNa8iJe2PkzWJm7DiTB
Cs0.05FA0.7885MA0.1615PbBr0.4845I2.51555,Cs; FA; MA,Pb,Br; I,1.6,C60 | BCP,PTAA,Cu,Ethyl acetate,DMF; DMSO,False,100.0,Spin-coating,N2,0.1,False,1.13,21.59,0.77,18.79,-A8OjJPua4mcaou3gByGWXL5rHpj
MAPbI3,MA,Pb,I,1.6,PCBM-60,Spiro-MeOTAD | MoO3,Ag,Unknown,DMF,False,100.0,Spin-coating,N2,0.12,False,0.8,24.2,0.556,10.8,-ANDkpl8VtIArDGET0iBEm__HYWE
